name,cohort,analysis,outcome,model,outcome_time_median,term,hr,conf_low,conf_high,source
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_max_adj,10,days1_28,3.772296806,3.529578144,4.031706513,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_max_adj,278,days197_365,1.285536454,1.228493926,1.345227631,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_max_adj,102,days28_197,1.587271594,1.524196748,1.652956626,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_max_adj,429,days365_714,1.429065406,1.32856382,1.537169615,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_max_adj,387,days_pre,NA,NA,NA,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_age_sex,1,days0_1,455.8371045,312.0025801,665.97996,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_age_sex,6,days1_28,2.039750944,0.73026538,5.697358833,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_age_sex,275,days197_365,1.312588869,0.836726331,2.059083688,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_age_sex,79,days28_197,1.996581055,1.363752345,2.923064386,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_age_sex,391,days365_714,0.973651901,0.369516309,2.565510645,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_age_sex,442.5,days_pre,NA,NA,NA,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_max_adj,1,days0_1,435.3553095,297.6291159,636.8135218,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_max_adj,6,days1_28,1.961602805,0.708234291,5.433068703,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_max_adj,275,days197_365,1.275046947,0.808586702,2.010600363,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_max_adj,79,days28_197,1.937228817,1.315522534,2.852748923,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_max_adj,391,days365_714,0.881249498,0.355608277,2.1838655830000002,R
cohort_prevax-main-variceal_gi_bleeding,prevax,main,variceal_gi_bleeding,mdl_max_adj,442.5,days_pre,NA,NA,NA,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_age_sex,1,days0_1,44.71491694,35.47510576,56.36132026,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_age_sex,15,days1_28,1.95585616,1.550817727,2.466681448,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_age_sex,267,days197_365,1.324510201,1.172190745,1.496622696,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_age_sex,103,days28_197,1.440045798,1.29226319,1.604728756,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_age_sex,418,days365_714,1.43312387,1.109519718,1.851110884,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_age_sex,342,days_pre,NA,NA,NA,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_max_adj,1,days0_1,39.27408641,30.67077741,50.29066732,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_max_adj,15,days1_28,1.838594253,1.45823201,2.318169404,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_max_adj,267,days197_365,1.239849338,1.097161936,1.401093432,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_max_adj,103,days28_197,1.351642217,1.212946789,1.506196891,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_max_adj,418,days365_714,1.303237669,1.008843251,1.683540451,R
cohort_prevax-sub_age_18_39-appendicitis,prevax,sub_age_18_39,appendicitis,mdl_max_adj,342,days_pre,NA,NA,NA,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_age_sex,1,days0_1,14.5958562,11.46513538,18.58146555,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_age_sex,13,days1_28,1.575736949,1.363280435,1.821303136,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_age_sex,274,days197_365,1.419411809,1.328422418,1.516633458,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_age_sex,113,days28_197,1.392994027,1.309837983,1.481429295,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_age_sex,410,days365_714,1.566600575,1.370569053,1.790670348,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_age_sex,362,days_pre,NA,NA,NA,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_max_adj,1,days0_1,12.61682392,9.898789142,16.08118362,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_max_adj,13,days1_28,1.364885238,1.180430477,1.578163007,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_max_adj,274,days197_365,1.217093413,1.138843689,1.300719659,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_max_adj,113,days28_197,1.204474452,1.132285129,1.281266237,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_max_adj,410,days365_714,1.242891032,1.086822121,1.42137162,R
cohort_prevax-sub_age_18_39-dyspepsia,prevax,sub_age_18_39,dyspepsia,mdl_max_adj,362,days_pre,NA,NA,NA,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_age_sex,1,days0_1,18.97005599,14.38371385,25.0187836,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_age_sex,15,days1_28,1.537605184,1.253694028,1.885810772,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_age_sex,276,days197_365,1.313122455,1.202360203,1.434088202,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_age_sex,112.5,days28_197,1.311747553,1.205254939,1.427649525,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_age_sex,417,days365_714,1.587163731,1.342207132,1.876825603,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_age_sex,372,days_pre,NA,NA,NA,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_max_adj,1,days0_1,14.31397523,10.43753631,19.6301005,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_max_adj,15,days1_28,1.328084479,1.08283585,1.628878822,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_max_adj,276,days197_365,1.120946766,1.025965142,1.224721583,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_max_adj,112.5,days28_197,1.130013663,1.037730445,1.230503437,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_max_adj,417,days365_714,1.272648323,1.075621486,1.505765527,R
cohort_prevax-sub_age_18_39-gallstones_disease,prevax,sub_age_18_39,gallstones_disease,mdl_max_adj,372,days_pre,NA,NA,NA,R
cohort_prevax-sub_age_18_39-gastro_oesophageal_reflux_disease,prevax,sub_age_18_39,gastro_oesophageal_reflux_disease,mdl_age_sex,1,days0_1,15.29745695,12.97312619,18.03822654,R
cohort_prevax-sub_age_18_39-gastro_oesophageal_reflux_disease,prevax,sub_age_18_39,gastro_oesophageal_reflux_disease,mdl_age_sex,13,days1_28,1.653989636,1.476219265,1.853167602,R
cohort_prevax-sub_age_18_39-gastro_oesophageal_reflux_disease,prevax,sub_age_18_39,gastro_oesophageal_reflux_disease,mdl_age_sex,274,days197_365,1.427501297,1.357680635,1.500912586,R
cohort_prevax-sub_age_18_39-gastro_oesophageal_reflux_disease,prevax,sub_age_18_39,gastro_oesophageal_reflux_disease,mdl_age_sex,110,days28_197,1.379951354,1.313830625,1.449399718,R
cohort_prevax-sub_age_18_39-gastro_oesophageal_reflux_disease,prevax,sub_age_18_39,gastro_oesophageal_reflux_disease,mdl_age_sex,413,days365_714,1.72893209,1.570841419,1.902933125,R
cohort_prevax-sub_age_18_39-gastro_oesophageal_reflux_disease,prevax,sub_age_18_39,gastro_oesophageal_reflux_disease,mdl_age_sex,381,days_pre,NA,NA,NA,R
cohort_prevax-sub_age_18_39-gastro_oesophageal_reflux_disease,prevax,sub_age_18_39,gastro_oesophageal_reflux_disease,mdl_max_adj,1,days0_1,9.983963155,8.034361403,12.40665129,R
